,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Latency,Latency Corrected SA
375,9,-109.499,2018-07-16 14:12:48.176913,H2b2,2018-07-16 14:12:48.286412,805.0,527.587,2018-07-16 14:12:48.550205,2018-07-16 14:12:48.030576,2018-07-16 14:12:48.176913,-109.499,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-20.185,117.24155555555555,7.742555555555555
376,10,-129.684,2018-07-16 14:12:48.684315,H2b2,2018-07-16 14:12:48.813999,805.0,560.018,2018-07-16 14:12:49.094008,2018-07-16 14:12:48.550205,2018-07-16 14:12:48.684315,-129.684,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-15.142999999999999,124.44844444444445,-5.23555555555555
377,11,-144.827,2018-07-16 14:12:49.229190,H2b2,2018-07-16 14:12:49.374017,805.0,591.7180000000001,2018-07-16 14:12:49.669876,2018-07-16 14:12:49.094008,2018-07-16 14:12:49.229190,-144.827,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-71.88300000000002,131.49288888888887,-13.334111111111126
378,12,-216.71,2018-07-16 14:12:49.749025,H2b2,2018-07-16 14:12:49.965735,805.0,607.711,2018-07-16 14:12:50.269591,2018-07-16 14:12:49.669876,2018-07-16 14:12:49.749025,-216.71,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,116.954,135.0468888888889,-81.66311111111109
379,13,-99.756,2018-07-16 14:12:50.473690,H2b2,2018-07-16 14:12:50.573446,805.0,655.835,2018-07-16 14:12:50.901364,2018-07-16 14:12:50.269591,2018-07-16 14:12:50.473690,-99.756,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-90.777,145.74111111111108,45.98511111111111
380,14,-190.533,2018-07-16 14:12:51.038748,H2b2,2018-07-16 14:12:51.229281,805.0,639.561,2018-07-16 14:12:51.549062,2018-07-16 14:12:50.901364,2018-07-16 14:12:51.038748,-190.533,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,52.13299999999998,142.12466666666668,-48.4083333333333
381,15,-138.4,2018-07-16 14:12:51.730442,H2b2,2018-07-16 14:12:51.868842,805.0,623.817,2018-07-16 14:12:52.180751,2018-07-16 14:12:51.549062,2018-07-16 14:12:51.730442,-138.4,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,137.65200000000002,138.626,0.2259999999999991
382,16,-0.748,2018-07-16 14:12:52.491911,H2b2,2018-07-16 14:12:52.492659,805.0,575.94,2018-07-16 14:12:52.780629,2018-07-16 14:12:52.180751,2018-07-16 14:12:52.491911,-0.748,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-60.035,127.98666666666668,127.23866666666667
383,17,-60.783,2018-07-16 14:12:53.007816,H2b2,2018-07-16 14:12:53.068599,805.0,559.774,2018-07-16 14:12:53.348486,2018-07-16 14:12:52.780629,2018-07-16 14:12:53.007816,-60.783,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,9.314,124.39422222222224,63.611222222222224
384,18,-51.468999999999994,2018-07-16 14:12:53.576904,H2b2,2018-07-16 14:12:53.628373,805.0,527.885,2018-07-16 14:12:53.892315,2018-07-16 14:12:53.348486,2018-07-16 14:12:53.576904,-51.468999999999994,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,57.604,117.30777777777777,65.83877777777778
385,19,6.135,2018-07-16 14:12:54.162393,H2b2,2018-07-16 14:12:54.156258,805.0,511.597,2018-07-16 14:12:54.412056,2018-07-16 14:12:53.892315,2018-07-16 14:12:54.162393,6.135,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-36.628,113.68822222222221,119.82322222222223
386,20,-30.493000000000002,2018-07-16 14:12:54.637362,H2b2,2018-07-16 14:12:54.667855,805.0,479.88699999999994,2018-07-16 14:12:54.907799,2018-07-16 14:12:54.412056,2018-07-16 14:12:54.637362,-30.493000000000002,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,35.761,106.64155555555556,76.14855555555556
387,21,5.268,2018-07-16 14:12:55.153010,H2b2,2018-07-16 14:12:55.147742,805.0,495.63199999999995,2018-07-16 14:12:55.395558,2018-07-16 14:12:54.907799,2018-07-16 14:12:55.153010,5.268,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,3.838,110.14044444444444,115.40844444444444
388,22,9.106,2018-07-16 14:12:55.652480,H2b2,2018-07-16 14:12:55.643374,805.0,511.955,2018-07-16 14:12:55.899351,2018-07-16 14:12:55.395558,2018-07-16 14:12:55.652480,9.106,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-32.586999999999996,113.76777777777778,122.87377777777779
389,23,-23.480999999999998,2018-07-16 14:12:56.131848,H2b2,2018-07-16 14:12:56.155329,805.0,527.8,2018-07-16 14:12:56.419229,2018-07-16 14:12:55.899351,2018-07-16 14:12:56.131848,-23.480999999999998,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,32.976,117.28888888888888,93.80788888888887
390,24,9.495,2018-07-16 14:12:56.692624,H2b2,2018-07-16 14:12:56.683129,805.0,559.66,2018-07-16 14:12:56.962959,2018-07-16 14:12:56.419229,2018-07-16 14:12:56.692624,9.495,-67.88766666666668,68.37954482715742,-67.88766666666668,68.37954482715742,0,-97.31200000000001,124.36888888888888,133.86388888888888
