,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,,
96,-313.196,07:57.3,A1a4,07:57.6,1779,325.079,07:57.8,07:57.4,07:57.6,23.246,30.03617857,35.68290738,-292.3591897,39.71006094,2,103.458,32.6408463,-9.3948463
97,-301.833,07:57.6,A1a4,07:57.9,1779,325.08,07:58.1,07:57.8,07:58.1,126.704,30.03617857,35.68290738,-292.3591897,39.71006094,2,-92.767,32.6408463,94.0631537
98,-198.376,07:58.1,A1a4,07:58.3,1779,348.299,07:58.4,07:58.1,07:58.3,33.937,30.03617857,35.68290738,-292.3591897,39.71006094,2,-12.38,32.6408463,1.2961537
99,-314.362,07:58.3,A1a4,07:58.6,1779,325.079,07:58.8,07:58.4,07:58.6,21.557,30.03617857,35.68290738,-292.3591897,39.71006094,2,8.074,32.6408463,-11.0838463
100,-303.522,07:58.6,A1a4,07:58.9,1779,325.08,07:59.1,07:58.8,07:59.0,29.631,30.03617857,35.68290738,-292.3591897,39.71006094,2,17.193,32.6408463,-3.0098463
101,-295.449,07:59.0,A1a4,07:59.3,1779,348.299,07:59.4,07:59.1,07:59.3,46.824,30.03617857,35.68290738,-292.3591897,39.71006094,2,-18.332,32.6408463,14.1831537
102,-301.475,07:59.3,A1a4,07:59.6,1779,325.079,07:59.8,07:59.4,07:59.6,28.492,30.03617857,35.68290738,-292.3591897,39.71006094,2,11.813,32.6408463,-4.1488463
103,-296.587,07:59.6,A1a4,07:59.9,1779,325.08,08:00.1,07:59.8,08:00.0,40.305,30.03617857,35.68290738,-292.3591897,39.71006094,2,3.983,32.6408463,7.6641537
104,-284.775,08:00.0,A1a4,08:00.2,1779,348.299,08:00.4,08:00.1,08:00.3,44.288,30.03617857,35.68290738,-292.3591897,39.71006094,2,-15.674,32.6408463,11.6471537
105,-304.011,08:00.3,A1a4,08:00.6,1779,325.079,08:00.8,08:00.4,08:00.6,28.614,30.03617857,35.68290738,-292.3591897,39.71006094,2,68.648,32.6408463,-4.0268463
106,-296.465,08:00.6,A1a4,08:00.9,1779,348.3,08:01.1,08:00.8,08:01.0,97.262,30.03617857,35.68290738,-292.3591897,39.71006094,2,-74.212,32.6408463,64.6211537
107,-251.038,08:01.0,A1a4,08:01.3,1779,325.079,08:01.4,08:01.1,08:01.3,23.05,30.03617857,35.68290738,-292.3591897,39.71006094,2,0.083,32.6408463,-9.5908463
108,-302.029,08:01.3,A1a4,08:01.6,1779,325.079,08:01.8,08:01.4,08:01.6,23.133,30.03617857,35.68290738,-292.3591897,39.71006094,2,15.943,32.6408463,-9.5078463
109,-301.946,08:01.6,A1a4,08:01.9,1779,348.3,08:02.1,08:01.8,08:02.0,39.076,30.03617857,35.68290738,-292.3591897,39.71006094,2,-20.463,32.6408463,6.4351537
110,-309.224,08:02.0,A1a4,08:02.3,1779,325.079,08:02.4,08:02.1,08:02.3,18.613,30.03617857,35.68290738,-292.3591897,39.71006094,2,19.57,32.6408463,-14.0278463
111,-306.466,08:02.3,A1a4,08:02.6,1779,325.079,08:02.8,08:02.4,08:02.6,38.183,30.03617857,35.68290738,-292.3591897,39.71006094,2,4.548,32.6408463,5.5421537
112,-286.896,08:02.6,A1a4,08:02.9,1779,348.3,08:03.1,08:02.8,08:03.0,42.731,30.03617857,35.68290738,-292.3591897,39.71006094,2,-14.221,32.6408463,10.0901537
