,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
141,-139.188,655.716,2018-07-21 21:56:26.036574,-178.68290909090908,2018-07-21 21:56:25.372834,0,-0.5970000000000084,-139.188,-178.68290909090908,56.893709727550466,2018-07-21 21:56:25.569528,56.893709727550466,2018-07-21 21:56:25.569528,H1b2,2018-07-21 21:56:25.708716,141,17,131.0
142,-139.785,671.7080000000002,2018-07-21 21:56:26.700286,-178.68290909090908,2018-07-21 21:56:26.036574,0,-4.4269999999999925,-139.785,-178.68290909090908,56.893709727550466,2018-07-21 21:56:26.224647,56.893709727550466,2018-07-21 21:56:26.224647,H1b2,2018-07-21 21:56:26.364432,142,18,131.0
143,-144.21200000000005,655.592,2018-07-21 21:56:27.363936,-178.68290909090908,2018-07-21 21:56:26.700286,0,-0.4650000000000034,-144.21200000000005,-178.68290909090908,56.893709727550466,2018-07-21 21:56:26.891928,56.893709727550466,2018-07-21 21:56:26.891928,H1b2,2018-07-21 21:56:27.036140,143,19,131.0
144,-144.67700000000005,671.7410000000001,2018-07-21 21:56:28.027602,-178.68290909090908,2018-07-21 21:56:27.363936,0,-74.06900000000002,-144.67700000000005,-178.68290909090908,56.893709727550466,2018-07-21 21:56:27.547055,56.893709727550466,2018-07-21 21:56:27.547055,H1b2,2018-07-21 21:56:27.691732,144,20,131.0
145,-218.746,671.5989999999998,2018-07-21 21:56:28.699273,-178.68290909090908,2018-07-21 21:56:28.027602,0,24.451000000000025,-218.746,-178.68290909090908,56.893709727550466,2018-07-21 21:56:28.144727,56.893709727550466,2018-07-21 21:56:28.144727,H1b2,2018-07-21 21:56:28.363473,145,21,131.0
146,-194.295,655.6360000000002,2018-07-21 21:56:29.362890,-178.68290909090908,2018-07-21 21:56:28.699273,0,,-194.295,-178.68290909090908,56.893709727550466,2018-07-21 21:56:28.840777,56.893709727550466,2018-07-21 21:56:28.840777,H1b2,2018-07-21 21:56:29.035072,146,22,131.0
147,-9.528,447.756,2018-07-21 21:59:03.678230,-437.7344705882353,2018-07-21 21:59:03.238488,1,23.01100000000001,-9.528,-99.60696969696968,42.39189391004256,2018-07-21 21:59:03.444824,391.1737718996457,2018-07-21 21:59:03.444824,H1b3,2018-07-21 21:59:03.454352,147,1,131.0
148,13.483,447.798,2018-07-21 21:59:04.126007,-437.7344705882353,2018-07-21 21:59:03.678230,1,-62.738,13.483,-99.60696969696968,42.39189391004256,2018-07-21 21:59:03.915591,391.1737718996457,2018-07-21 21:59:03.915591,H1b3,2018-07-21 21:59:03.902108,148,2,131.0
149,-49.255,447.752,2018-07-21 21:59:04.573782,-437.7344705882353,2018-07-21 21:59:04.126007,1,-42.56100000000001,-49.255,-99.60696969696968,42.39189391004256,2018-07-21 21:59:04.300651,391.1737718996457,2018-07-21 21:59:04.300651,H1b3,2018-07-21 21:59:04.349906,149,3,131.0
150,-91.816,431.817,2018-07-21 21:59:05.013567,-437.7344705882353,2018-07-21 21:59:04.573782,1,-38.749,-91.816,-99.60696969696968,42.39189391004256,2018-07-21 21:59:04.705842,391.1737718996457,2018-07-21 21:59:04.705842,H1b3,2018-07-21 21:59:04.797658,150,4,131.0
