,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony
56,-2044.475,2018-05-02 18:15:03.857729000,H2a1,2018-05-02 18:15:05.902204000,510.0,0 days 00:00:00.799510000,2018-05-02 18:15:06.301959000,2018-05-02 18:15:05.550509000,2018-05-02 18:15:05.933539000,31.335,49.16523529411763
57,-2025.033,2018-05-02 18:15:04.676681000,H2a1,2018-05-02 18:15:06.701714000,510.0,0 days 00:00:00.927420000,2018-05-02 18:15:07.165424000,2018-05-02 18:15:06.301959000,2018-05-02 18:15:06.748226000,46.512,49.16523529411763
58,-2252.432,2018-05-02 18:15:05.376702000,H2a1,2018-05-02 18:15:07.629134000,510.0,0 days 00:00:01.087601000,2018-05-02 18:15:08.172934500,2018-05-02 18:15:07.165424000,2018-05-02 18:15:07.559070000,-70.064,49.16523529411763
59,-2783.196,2018-05-02 18:15:05.933539000,H2a1,2018-05-02 18:15:08.716735000,510.0,0 days 00:00:01.327405000,2018-05-02 18:15:09.380437500,2018-05-02 18:15:08.172934500,2018-05-02 18:15:08.639645000,-77.09,49.16523529411763
60,-3295.914,2018-05-02 18:15:06.748226000,H2a1,2018-05-02 18:15:10.044140000,510.0,0 days 00:00:01.087446000,2018-05-02 18:15:10.587863000,2018-05-02 18:15:09.380437500,2018-05-02 18:15:09.965994000,-78.146,49.16523529411763
61,-4252.256,2018-05-02 18:15:06.879330000,H2a1,2018-05-02 18:15:11.131586000,510.0,0 days 00:00:00.927269000,2018-05-02 18:15:11.595220500,2018-05-02 18:15:10.587863000,2018-05-02 18:15:11.329636000,198.05,49.16523529411763
62,-4499.785,2018-05-02 18:15:07.559070000,H2a1,2018-05-02 18:15:12.058855000,510.0,0 days 00:00:00.799623000,2018-05-02 18:15:12.458666500,2018-05-02 18:15:11.595220500,2018-05-02 18:15:12.087023000,28.168,49.16523529411763
63,-4218.833,2018-05-02 18:15:08.639645000,H2a1,2018-05-02 18:15:12.858478000,510.0,0 days 00:00:00.927567000,2018-05-02 18:15:13.322261500,2018-05-02 18:15:12.458666500,2018-05-02 18:15:12.840440000,-18.038,49.16523529411763
64,-3820.051,2018-05-02 18:15:09.965994000,H2a1,2018-05-02 18:15:13.786045000,510.0,0 days 00:00:01.087429000,2018-05-02 18:15:14.329759500,2018-05-02 18:15:13.322261500,2018-05-02 18:15:13.589414000,-196.631,49.16523529411763
65,-3543.838,2018-05-02 18:15:11.329636000,H2a1,2018-05-02 18:15:14.873474000,510.0,0 days 00:00:01.327165000,2018-05-02 18:15:15.537056500,2018-05-02 18:15:14.329759500,2018-05-02 18:15:14.821539000,-51.935,49.16523529411763
66,-4113.616,2018-05-02 18:15:12.087023000,H2a1,2018-05-02 18:15:16.200639000,510.0,,,2018-05-02 18:15:15.537056500,,,49.16523529411763
67,,2018-05-02 18:15:12.840440000,,,,,,,,,
68,,2018-05-02 18:15:13.589414000,,,,,,,,,
69,,2018-05-02 18:15:14.821539000,,,,,,,,,
70,,2018-05-02 18:15:15.902802000,,,,,,,,,
