,A,B,T-Stat,p-value
222,H2b2,H2b3,-9.330609623418132,8.266695687721708e-20
223,H2b2,H2b4,-10.642433640469099,1.650222428463949e-24
224,H2b3,H1a1,32.162031234033236,9.993588612027083e-93
225,H2b3,H1a2,22.98709575514573,1.930861930260914e-90
226,H2b3,H1a3,8.646125380846653,2.0200133516230415e-17
227,H2b3,H1a4,-0.8810359875184302,0.3785227228209985
228,H2b3,H1b1,25.81202218868162,4.311328065298337e-71
229,H2b3,H1b2,11.973012318440974,8.304910643637137e-30
230,H2b3,H1b3,10.118666192179756,4.746369897282319e-23
231,H2b3,H1b4,-0.42852177396195207,0.6683540695340162
232,H2b3,H2a1,15.063611692376922,5.698701987028915e-40
233,H2b3,H2a2,15.43946379896353,1.1739836656201781e-48
234,H2b3,H2a3,3.7657549978171443,0.00017527331235849425
235,H2b3,H2a4,-1.0947240862171808,0.2739054183354224
236,H2b3,H2b1,13.849233446657216,2.83751535935709e-32
237,H2b3,H2b2,9.330609623418132,8.266695687721708e-20
238,H2b3,H2b3,0.0,1.0
239,H2b3,H2b4,-0.141802668221372,0.8872652169002292
240,H2b4,H1a1,33.9613054370207,4.4109464708925194e-88
241,H2b4,H1a2,27.355095232898467,5.549219271814841e-106
242,H2b4,H1a3,11.273371483971422,5.317090407601647e-28
243,H2b4,H1a4,-0.9939297697604003,0.3204296080118524
244,H2b4,H1b1,26.927338022868934,2.9679953911548475e-69
245,H2b4,H1b2,13.158233790096945,9.051790488789038e-34
246,H2b4,H1b3,12.476365292020574,3.785597944693916e-33
247,H2b4,H1b4,-0.37417439292147836,0.7083489834552165
248,H2b4,H2a1,15.789126740828856,2.4763343360548434e-41
249,H2b4,H2a2,18.91585458635521,1.8364452987793215e-67
250,H2b4,H2a3,5.059701671033527,4.791359034645657e-07
251,H2b4,H2a4,-1.270088812645945,0.20425846814763116
252,H2b4,H2b1,14.101910833348501,1.2674825468963935e-32
253,H2b4,H2b2,10.642433640469099,1.650222428463949e-24
254,H2b4,H2b3,0.141802668221372,0.8872652169002292
255,H2b4,H2b4,0.0,1.0
