,A,B,T-Stat,p-value
330,A2a3,A2a3,0.0,1.0
331,A2a3,A2a4,-2.863667482837041,0.0043354333098846
332,A2a3,A2b1,-2.4058274992873216,0.01657858712741955
333,A2a3,A2b2,-1.5143122084044707,0.13050422796894812
334,A2a3,A2b3,-1.5949197509239503,0.11128539734146088
335,A2a3,A2b4,-1.288041715813224,0.19827204746958205
336,A2a3,A3a1,2.129421417207482,0.034474416304188786
337,A2a3,A3a2,3.545943888445279,0.0004771112374142406
338,A2a3,A3a3,-1.3675870383093485,0.17198728813296854
339,A2a3,A3a4,-3.0460642756433507,0.002404604133927316
340,A2a3,A3b1,3.098587651872151,0.0022303953014198804
341,A2a3,A3b2,1.5902295753357165,0.11306792954445802
342,A2a3,A3b3,0.18303399816664678,0.8548383899125119
343,A2a3,A3b4,-4.460156203212036,9.624673178574162e-06
344,A2a3,A4a1,-0.678981912922223,0.49765636835938754
345,A2a3,A4a2,0.5658678393972857,0.5717788138051492
346,A2a3,A4a3,-0.8203271820386925,0.4123930850514299
347,A2a3,A4a4,-2.209915529868614,0.02749278270773175
348,A2a3,A4b1,-0.08026611409288456,0.9360782527728467
349,A2a3,A4b2,0.43376840485632545,0.6646793394020739
350,A2a3,A4b3,-0.3550216852229988,0.7227034138484951
351,A2a3,A4b4,-1.8246084060555372,0.06858399324974754
352,A2a4,A1a1,7.649568873782208,4.994320904246302e-13
353,A2a4,A1a2,2.851731058315396,0.0044810772964481525
354,A2a4,A1a3,4.55921594553305,5.982698359093081e-06
355,A2a4,A1a4,3.703773297501898,0.00023298263970531556
356,A2a4,A1b1,2.1514046881960587,0.03207342900328128
357,A2a4,A1b2,-1.6161635314470557,0.10662479419862503
358,A2a4,A1b3,-0.832185755095728,0.40568284335413074
359,A2a4,A1b4,-1.1297892290991733,0.259166028850266
360,A2a4,A2a1,2.1004970748801792,0.03642748379249912
361,A2a4,A2a2,0.8013335403451212,0.4232602408998326
362,A2a4,A2a3,2.863667482837041,0.0043354333098846
363,A2a4,A2a4,0.0,1.0
364,A2a4,A2b1,-0.7549390250833644,0.4507093867875245
365,A2a4,A2b2,1.0158279211847534,0.3101374436535794
366,A2a4,A2b3,1.0852438305363021,0.278268051245631
367,A2a4,A2b4,1.4202619381002672,0.1560901972103163
368,A2a4,A3a1,2.543544340781953,0.011747937270549015
369,A2a4,A3a2,4.659517881850391,5.42423037670413e-06
370,A2a4,A3a3,0.937722818662312,0.3487801102927963
371,A2a4,A3a4,-0.01466462194735767,0.9883040131165992
372,A2a4,A3b1,3.5117234311350005,0.0005523693734421647
373,A2a4,A3b2,2.901118116971434,0.004048887585477382
374,A2a4,A3b3,2.5038233172516966,0.012566267380364711
375,A2a4,A3b4,-1.5409630627223156,0.12381056170148323
376,A2a4,A4a1,0.033776767170406084,0.9730767930862728
377,A2a4,A4a2,2.31650825061842,0.020987580212172226
378,A2a4,A4a3,1.5405248494877377,0.12400699406852721
379,A2a4,A4a4,0.534726390720106,0.5930386297232435
380,A2a4,A4b1,0.5314146436616864,0.5955166329051953
381,A2a4,A4b2,2.1237882744335312,0.03425707313382305
382,A2a4,A4b3,2.2388899705024525,0.025539455810705883
383,A2a4,A4b4,0.7378579943089597,0.46089985825260193
384,A2b1,A1a1,6.5804375053024025,1.374421146009456e-10
385,A2b1,A1a2,2.529744264945229,0.01172548611116376
386,A2b1,A1a3,3.357820306390939,0.0008590943040319113
387,A2b1,A1a4,2.7193497695161772,0.006861579215455922
388,A2b1,A1b1,2.3249184028749275,0.020431877059218825
389,A2b1,A1b2,-0.3790578195975146,0.7047994317817782
390,A2b1,A1b3,0.19972752627710058,0.8417805305683209
391,A2b1,A1b4,-0.00894346670909601,0.992868034237907
392,A2b1,A2a1,2.268783908803312,0.023688299766904945
393,A2b1,A2a2,1.2248646221522324,0.221277357643599
394,A2b1,A2a3,2.4058274992873216,0.01657858712741955
395,A2b1,A2a4,0.7549390250833644,0.4507093867875245
396,A2b1,A2b1,0.0,1.0
397,A2b1,A2b2,1.3609013245752606,0.17419684192251267
398,A2b1,A2b3,1.396637454736167,0.16322220925922412
399,A2b1,A2b4,1.5957081701524978,0.11127919350173762
400,A2b1,A3a1,2.6790385635955394,0.00796291518242353
401,A2b1,A3a2,4.518737123235259,8.522079206293968e-06
402,A2b1,A3a3,1.3173504221290089,0.1883035617145514
403,A2b1,A3a4,0.7602014182277482,0.44758152727056166
404,A2b1,A3b1,3.627139945633541,0.00035868357354445736
405,A2b1,A3b2,2.935388938422802,0.003516155453826058
406,A2b1,A3b3,2.3409066408762893,0.01962342051337391
407,A2b1,A3b4,-0.13915832755406718,0.8893917822592963
408,A2b1,A4a1,0.342218061900406,0.7323734843860701
409,A2b1,A4a2,2.356063439956497,0.018791487065343074
410,A2b1,A4a3,1.7080156489711957,0.08825462501663225
411,A2b1,A4a4,1.0649256172792445,0.2874994250023958
412,A2b1,A4b1,0.7790711479623574,0.43644833339092226
413,A2b1,A4b2,2.223003355443727,0.02658634443650838
414,A2b1,A4b3,2.107603430685344,0.03561261671837606
415,A2b1,A4b4,1.1868536320323455,0.23589102906150816
416,A2b2,A1a1,6.740325931110308,9.49910283840768e-11
417,A2b2,A1a2,1.704945380528793,0.08865995757835854
418,A2b2,A1a3,2.9995080777585295,0.0028088891194013466
419,A2b2,A1a4,2.035134475764308,0.04237943996931484
420,A2b2,A1b1,1.6320970577998786,0.10342640392663899
421,A2b2,A1b2,-2.349662207950426,0.01911030572481683
422,A2b2,A1b3,-1.6830060938372917,0.0929284449558589
423,A2b2,A1b4,-1.937020109449728,0.053300750503847784
424,A2b2,A2a1,1.5327143337054605,0.12620435293479584
425,A2b2,A2a2,-0.2495418722254328,0.8030277805962365
426,A2b2,A2a3,1.5143122084044707,0.13050422796894812
427,A2b2,A2a4,-1.0158279211847534,0.3101374436535794
428,A2b2,A2b1,-1.3609013245752606,0.17419684192251267
429,A2b2,A2b2,0.0,1.0
430,A2b2,A2b3,0.00955965858943548,0.9923758722038968
431,A2b2,A2b4,0.2993013953073978,0.7648194753180613
432,A2b2,A3a1,2.3684473022837014,0.018828677507680726
433,A2b2,A3a2,4.119311620052896,5.218062202128103e-05
