,Unnamed: 0,Asynchrony,IOI,Max,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Tap Onset,Test,True Onset,User ID
1609,1609,-63.792,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-18.948999999999998,-63.792,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1610,1610,-82.741,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-12.111000000000004,-82.741,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1611,1611,-94.852,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,29.245000000000005,-94.852,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1612,1612,-65.607,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,39.236999999999995,-65.607,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1613,1613,-26.37,0 days 00:00:00.441180000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-17.176000000000005,-26.37,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1614,1614,-43.54600000000001,0 days 00:00:00.464399000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-29.245999999999995,-43.54600000000001,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1615,1615,-72.792,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-9.896999999999991,-72.792,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1616,1616,-82.689,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-1.1410000000000053,-82.689,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1617,1617,-83.83,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-8.923999999999992,-83.83,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1618,1618,-92.75399999999999,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,14.685999999999993,-92.75399999999999,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1619,1619,-78.068,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,21.189999999999998,-78.068,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1620,1620,-56.878,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-24.021,-56.878,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1621,1621,-80.899,0 days 00:00:00.464400000,05/05/18 04:13 PM,05/05/18 04:13 PM,,14.37299999999999,-80.899,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1622,1622,-66.52600000000001,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,121.435,-66.52600000000001,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1623,1623,54.909,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-117.87799999999999,54.909,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1624,1624,-62.968999999999994,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-32.104,-62.968999999999994,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1625,1625,-95.073,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-14.479000000000013,-95.073,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
1626,1626,-109.552,0 days 00:00:00.441179000,05/05/18 04:13 PM,05/05/18 04:13 PM,,-0.8340000000000032,-109.552,-60.596000000000004,43.9813008150163,05/05/18 04:13 PM,05/05/18 04:13 PM,A1a3,05/05/18 04:13 PM,390
