Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
131.72,34:50.9,H1a4,34:50.8,127,335.824,34:50.9,34:50.6,34:50.9,131.72,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-69.726
61.994,34:51.2,H1a4,34:51.1,127,335.684,34:51.3,34:50.9,34:51.2,61.994,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-48.848
13.146,34:51.5,H1a4,34:51.4,127,336.194,34:51.6,34:51.3,34:51.5,13.146,-5.755111111,35.47615625,-5.755111111,35.47615625,0,44.471
57.617,34:51.8,H1a4,34:51.8,127,335.742,34:51.9,34:51.6,34:51.8,57.617,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-0.056
57.561,34:52.2,H1a4,34:52.1,127,319.653,34:52.3,34:51.9,34:52.2,57.561,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-33.164
24.397,34:52.5,H1a4,34:52.4,127,336.18,34:52.6,34:52.3,34:52.5,24.397,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-24.685
-0.288,34:52.8,H1a4,34:52.8,127,335.887,34:52.9,34:52.6,34:52.8,-0.288,-5.755111111,35.47615625,-5.755111111,35.47615625,0,28.262
27.974,34:53.1,H1a4,34:53.1,127,335.843,34:53.3,34:52.9,34:53.1,27.974,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-4.178
23.796,34:53.5,H1a4,34:53.4,127,335.699,34:53.6,34:53.3,34:53.5,23.796,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-24.845
-1.049,34:53.8,H1a4,34:53.8,127,335.921,34:53.9,34:53.6,34:53.8,-1.049,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-8.007
-9.056,34:54.1,H1a4,34:54.1,127,319.879,34:54.3,34:53.9,34:54.1,-9.056,-5.755111111,35.47615625,-5.755111111,35.47615625,0,11.496
2.44,34:54.4,H1a4,34:54.4,127,335.739,34:54.6,34:54.3,34:54.4,2.44,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-4.04
-1.6,34:54.8,H1a4,34:54.8,127,335.81,34:54.9,34:54.6,34:54.8,-1.6,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-20.433
-22.033,34:55.1,H1a4,34:55.1,127,336.136,34:55.3,34:54.9,34:55.1,-22.033,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-21.004
-43.037,34:55.4,H1a4,34:55.4,127,335.776,34:55.6,34:55.3,34:55.4,-43.037,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-0.009
-43.046,34:55.7,H1a4,34:55.8,127,319.72,34:55.9,34:55.6,34:55.7,-43.046,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-12.53
-55.576,34:56.0,H1a4,34:56.1,127,335.881,34:56.3,34:55.9,34:56.0,-55.576,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-4.43
-60.006,34:56.4,H1a4,34:56.4,127,336.054,34:56.6,34:56.3,34:56.4,-60.006,-5.755111111,35.47615625,-5.755111111,35.47615625,0,44.486
-15.52,34:56.8,H1a4,34:56.8,127,335.722,34:56.9,34:56.6,34:56.8,-15.52,-5.755111111,35.47615625,-5.755111111,35.47615625,0,16.628
1.108,34:57.1,H1a4,34:57.1,127,335.601,34:57.3,34:56.9,34:57.1,1.108,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-12.467
-11.359,34:57.4,H1a4,34:57.4,127,319.831,34:57.6,34:57.3,34:57.4,-11.359,-5.755111111,35.47615625,-5.755111111,35.47615625,0,24.444
13.085,34:57.8,H1a4,34:57.8,127,336.229,34:57.9,34:57.6,34:57.8,13.085,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-16.97
-3.885,34:58.1,H1a4,34:58.1,127,335.816,34:58.3,34:57.9,34:58.1,-3.885,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-12.188
-16.073,34:58.4,H1a4,34:58.4,127,336.209,34:58.6,34:58.3,34:58.4,-16.073,-5.755111111,35.47615625,-5.755111111,35.47615625,0,15.922
-0.151,34:58.8,H1a4,34:58.8,127,335.691,34:58.9,34:58.6,34:58.8,-0.151,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-12.407
-12.558,34:59.1,H1a4,34:59.1,127,319.579,34:59.3,34:58.9,34:59.1,-12.558,-5.755111111,35.47615625,-5.755111111,35.47615625,0,24.266
11.708,34:59.4,H1a4,34:59.4,127,335.8,34:59.6,34:59.3,34:59.4,11.708,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-12.608
-0.9,34:59.8,H1a4,34:59.8,127,336.044,34:59.9,34:59.6,34:59.8,-0.9,-5.755111111,35.47615625,-5.755111111,35.47615625,0,28.354
27.454,35:00.1,H1a4,35:00.1,127,335.86,35:00.3,34:59.9,35:00.1,27.454,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-20.385
7.069,35:00.4,H1a4,35:00.4,127,335.975,35:00.6,35:00.3,35:00.4,7.069,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-12.525
-5.456,35:00.8,H1a4,35:00.8,127,335.588,35:00.9,35:00.6,35:00.8,-5.456,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-28.435
-33.891,35:01.1,H1a4,35:01.1,127,320.178,35:01.3,35:00.9,35:01.1,-33.891,-5.755111111,35.47615625,-5.755111111,35.47615625,0,23.641
-10.25,35:01.4,H1a4,35:01.4,127,335.654,35:01.6,35:01.3,35:01.4,-10.25,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-28.486
-38.736,35:01.7,H1a4,35:01.8,127,335.867,35:01.9,35:01.6,35:01.7,-38.736,-5.755111111,35.47615625,-5.755111111,35.47615625,0,7.97
-30.766,35:02.1,H1a4,35:02.1,127,335.986,35:02.3,35:01.9,35:02.1,-30.766,-5.755111111,35.47615625,-5.755111111,35.47615625,0,3.884
-26.882,35:02.4,H1a4,35:02.4,127,335.881,35:02.6,35:02.3,35:02.4,-26.882,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-4.584
-31.466,35:02.7,H1a4,35:02.8,127,319.823,35:02.9,35:02.6,35:02.7,-31.466,-5.755111111,35.47615625,-5.755111111,35.47615625,0,8.015
-23.451,35:03.1,H1a4,35:03.1,127,335.789,35:03.3,35:02.9,35:03.1,-23.451,-5.755111111,35.47615625,-5.755111111,35.47615625,0,3.874
-19.577,35:03.4,H1a4,35:03.4,127,335.965,35:03.6,35:03.3,35:03.4,-19.577,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-8.413
-27.99,35:03.7,H1a4,35:03.8,127,335.781,35:03.9,35:03.6,35:03.7,-27.99,-5.755111111,35.47615625,-5.755111111,35.47615625,0,-24.601
