Asynchrony,Group,IOI,,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,User ID
13.146,Professional,336.194,Flute,34:51.6,-5.755111111,34:51.3,0,44.471,13.146,-5.755111111,35.47615625,34:51.5,35.47615625,34:51.5,H1a4,34:51.4,824
57.617,Professional,335.742,Flute,34:51.9,-5.755111111,34:51.6,0,-0.056,57.617,-5.755111111,35.47615625,34:51.8,35.47615625,34:51.8,H1a4,34:51.8,824
57.561,Professional,319.653,Flute,34:52.3,-5.755111111,34:51.9,0,-33.164,57.561,-5.755111111,35.47615625,34:52.2,35.47615625,34:52.2,H1a4,34:52.1,824
24.397,Professional,336.18,Flute,34:52.6,-5.755111111,34:52.3,0,-24.685,24.397,-5.755111111,35.47615625,34:52.5,35.47615625,34:52.5,H1a4,34:52.4,824
-0.288,Professional,335.887,Flute,34:52.9,-5.755111111,34:52.6,0,28.262,-0.288,-5.755111111,35.47615625,34:52.8,35.47615625,34:52.8,H1a4,34:52.8,824
27.974,Professional,335.843,Flute,34:53.3,-5.755111111,34:52.9,0,-4.178,27.974,-5.755111111,35.47615625,34:53.1,35.47615625,34:53.1,H1a4,34:53.1,824
23.796,Professional,335.699,Flute,34:53.6,-5.755111111,34:53.3,0,-24.845,23.796,-5.755111111,35.47615625,34:53.5,35.47615625,34:53.5,H1a4,34:53.4,824
-1.049,Professional,335.921,Flute,34:53.9,-5.755111111,34:53.6,0,-8.007,-1.049,-5.755111111,35.47615625,34:53.8,35.47615625,34:53.8,H1a4,34:53.8,824
-9.056,Professional,319.879,Flute,34:54.3,-5.755111111,34:53.9,0,11.496,-9.056,-5.755111111,35.47615625,34:54.1,35.47615625,34:54.1,H1a4,34:54.1,824
2.44,Professional,335.739,Flute,34:54.6,-5.755111111,34:54.3,0,-4.04,2.44,-5.755111111,35.47615625,34:54.4,35.47615625,34:54.4,H1a4,34:54.4,824
-1.6,Professional,335.81,Flute,34:54.9,-5.755111111,34:54.6,0,-20.433,-1.6,-5.755111111,35.47615625,34:54.8,35.47615625,34:54.8,H1a4,34:54.8,824
-22.033,Professional,336.136,Flute,34:55.3,-5.755111111,34:54.9,0,-21.004,-22.033,-5.755111111,35.47615625,34:55.1,35.47615625,34:55.1,H1a4,34:55.1,824
-43.037,Professional,335.776,Flute,34:55.6,-5.755111111,34:55.3,0,-0.009,-43.037,-5.755111111,35.47615625,34:55.4,35.47615625,34:55.4,H1a4,34:55.4,824
-43.046,Professional,319.72,Flute,34:55.9,-5.755111111,34:55.6,0,-12.53,-43.046,-5.755111111,35.47615625,34:55.7,35.47615625,34:55.7,H1a4,34:55.8,824
-55.576,Professional,335.881,Flute,34:56.3,-5.755111111,34:55.9,0,-4.43,-55.576,-5.755111111,35.47615625,34:56.0,35.47615625,34:56.0,H1a4,34:56.1,824
-60.006,Professional,336.054,Flute,34:56.6,-5.755111111,34:56.3,0,44.486,-60.006,-5.755111111,35.47615625,34:56.4,35.47615625,34:56.4,H1a4,34:56.4,824
-15.52,Professional,335.722,Flute,34:56.9,-5.755111111,34:56.6,0,16.628,-15.52,-5.755111111,35.47615625,34:56.8,35.47615625,34:56.8,H1a4,34:56.8,824
1.108,Professional,335.601,Flute,34:57.3,-5.755111111,34:56.9,0,-12.467,1.108,-5.755111111,35.47615625,34:57.1,35.47615625,34:57.1,H1a4,34:57.1,824
-11.359,Professional,319.831,Flute,34:57.6,-5.755111111,34:57.3,0,24.444,-11.359,-5.755111111,35.47615625,34:57.4,35.47615625,34:57.4,H1a4,34:57.4,824
13.085,Professional,336.229,Flute,34:57.9,-5.755111111,34:57.6,0,-16.97,13.085,-5.755111111,35.47615625,34:57.8,35.47615625,34:57.8,H1a4,34:57.8,824
