,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Group,Instrument
49,9,431.978,26:44.0,A1a3,26:43.6,552,0 days 00:00:00.441179000,26:43.8,26:43.4,26:43.6,-2.659,6.185627907,27.56015348,455.4503953,37.7183559,0,-6.542,Professional,Percussion
50,10,458.395,26:44.5,A1a3,26:44.0,552,0 days 00:00:00.441180000,26:44.3,26:43.8,26:44.0,-9.201,6.185627907,27.56015348,455.4503953,37.7183559,0,26.416,Professional,Percussion
51,11,423.613,26:44.9,A1a3,26:44.5,552,0 days 00:00:00.441179000,26:44.7,26:44.3,26:44.5,17.215,6.185627907,27.56015348,455.4503953,37.7183559,0,-34.781,Professional,Percussion
52,12,584.708,26:45.5,A1a3,26:44.9,552,0 days 00:00:00.464399000,26:45.2,26:44.7,26:44.9,-17.566,6.185627907,27.56015348,455.4503953,37.7183559,0,137.875,Professional,Percussion
53,13,472.944,26:45.9,A1a3,26:45.4,552,0 days 00:00:00.441179000,26:45.6,26:45.2,26:45.5,120.309,6.185627907,27.56015348,455.4503953,37.7183559,0,-88.544,Professional,Percussion
54,14,429.841,26:46.3,A1a3,26:45.8,552,0 days 00:00:00.441179000,26:46.0,26:45.6,26:45.9,31.765,6.185627907,27.56015348,455.4503953,37.7183559,0,-43.103,Professional,Percussion
55,15,484.587,26:46.7,A1a3,26:46.3,552,0 days 00:00:00.441179000,26:46.5,26:46.0,26:46.3,-11.338,6.185627907,27.56015348,455.4503953,37.7183559,0,54.746,Professional,Percussion
56,16,441.337,26:47.1,A1a3,26:46.7,552,0 days 00:00:00.441179000,26:46.9,26:46.5,26:46.7,43.408,6.185627907,27.56015348,455.4503953,37.7183559,0,-43.25,Professional,Percussion
57,17,455.074,26:47.6,A1a3,26:47.1,552,0 days 00:00:00.441179000,26:47.4,26:46.9,26:47.1,0.158,6.185627907,27.56015348,455.4503953,37.7183559,0,13.737,Professional,Percussion
58,18,435.051,26:48.0,A1a3,26:47.6,552,0 days 00:00:00.441180000,26:47.8,26:47.4,26:47.6,13.895,6.185627907,27.56015348,455.4503953,37.7183559,0,-20.024,Professional,Percussion
59,19,445.082,26:48.5,A1a3,26:48.0,552,0 days 00:00:00.464399000,26:48.3,26:47.8,26:48.0,-6.129,6.185627907,27.56015348,455.4503953,37.7183559,0,-13.188,Professional,Percussion
60,20,467.09,26:49.0,A1a3,26:48.5,552,0 days 00:00:00.441179000,26:48.7,26:48.3,26:48.5,-19.317,6.185627907,27.56015348,455.4503953,37.7183559,0,45.228,Professional,Percussion
61,21,445.422,26:49.4,A1a3,26:48.9,552,0 days 00:00:00.441179000,26:49.2,26:48.7,26:49.0,25.911,6.185627907,27.56015348,455.4503953,37.7183559,0,-21.668,Professional,Percussion
62,22,441.431,26:49.8,A1a3,26:49.4,552,0 days 00:00:00.441179000,26:49.6,26:49.2,26:49.4,4.243,6.185627907,27.56015348,455.4503953,37.7183559,0,-3.991,Professional,Percussion
63,23,454.755,26:50.3,A1a3,26:49.8,552,0 days 00:00:00.441179000,26:50.0,26:49.6,26:49.8,0.252,6.185627907,27.56015348,455.4503953,37.7183559,0,13.324,Professional,Percussion
64,24,464.18,26:50.7,A1a3,26:50.3,552,0 days 00:00:00.441179000,26:50.5,26:50.0,26:50.3,13.576,6.185627907,27.56015348,455.4503953,37.7183559,0,9.425,Professional,Percussion
65,25,451.519,26:51.2,A1a3,26:50.7,552,0 days 00:00:00.441180000,26:50.9,26:50.5,26:50.7,23.001,6.185627907,27.56015348,455.4503953,37.7183559,0,-12.662,Professional,Percussion
66,26,458.235,26:51.6,A1a3,26:51.1,552,0 days 00:00:00.464399000,26:51.4,26:50.9,26:51.2,10.339,6.185627907,27.56015348,455.4503953,37.7183559,0,-16.503,Professional,Percussion
67,27,420.082,26:52.0,A1a3,26:51.6,552,0 days 00:00:00.441179000,26:51.8,26:51.4,26:51.6,-6.164,6.185627907,27.56015348,455.4503953,37.7183559,0,-14.933,Professional,Percussion
68,28,527.9,26:52.6,A1a3,26:52.0,552,0 days 00:00:00.441179000,26:52.3,26:51.8,26:52.0,-21.097,6.185627907,27.56015348,455.4503953,37.7183559,0,107.818,Professional,Percussion
69,29,439.487,26:52.9,A1a3,26:52.5,552,0 days 00:00:00.441179000,26:52.7,26:52.3,26:52.6,86.721,6.185627907,27.56015348,455.4503953,37.7183559,0,-88.413,Professional,Percussion
70,30,417.319,26:53.3,A1a3,26:52.9,552,0 days 00:00:00.441179000,26:53.1,26:52.7,26:52.9,-1.692,6.185627907,27.56015348,455.4503953,37.7183559,0,-22.168,Professional,Percussion
71,31,424.928,26:53.8,A1a3,26:53.4,552,0 days 00:00:00.441179000,26:53.6,26:53.1,26:53.3,-23.86,6.185627907,27.56015348,455.4503953,37.7183559,0,7.609,Professional,Percussion
72,32,446.214,26:54.3,A1a3,26:53.8,552,0 days 00:00:00.441179000,26:54.0,26:53.6,26:53.8,-16.251,6.185627907,27.56015348,455.4503953,37.7183559,0,21.286,Professional,Percussion
73,33,468.429,26:54.7,A1a3,26:54.3,552,0 days 00:00:00.464400000,26:54.5,26:54.0,26:54.3,5.035,6.185627907,27.56015348,455.4503953,37.7183559,0,-1.006,Professional,Percussion
74,34,450.024,26:55.2,A1a3,26:54.7,552,0 days 00:00:00.441179000,26:54.9,26:54.5,26:54.7,4.029,6.185627907,27.56015348,455.4503953,37.7183559,0,4.816,Professional,Percussion
75,35,423.393,26:55.6,A1a3,26:55.2,552,0 days 00:00:00.441179000,26:55.4,26:54.9,26:55.2,8.845,6.185627907,27.56015348,455.4503953,37.7183559,0,-26.631,Professional,Percussion
76,36,461.082,26:56.1,A1a3,26:55.6,552,0 days 00:00:00.441179000,26:55.8,26:55.4,26:55.6,-17.786,6.185627907,27.56015348,455.4503953,37.7183559,0,37.689,Professional,Percussion
77,37,444.064,26:56.5,A1a3,26:56.0,552,0 days 00:00:00.441179000,26:56.3,26:55.8,26:56.1,19.903,6.185627907,27.56015348,455.4503953,37.7183559,0,-17.018,Professional,Percussion
78,38,458.27,26:56.9,A1a3,26:56.5,552,0 days 00:00:00.441179000,26:56.7,26:56.3,26:56.5,2.885,6.185627907,27.56015348,455.4503953,37.7183559,0,14.206,Professional,Percussion
79,39,425.577,26:57.3,A1a3,26:56.9,552,0 days 00:00:00.441179000,26:57.1,26:56.7,26:56.9,17.091,6.185627907,27.56015348,455.4503953,37.7183559,0,-32.693,Professional,Percussion
80,40,458.243,26:57.8,A1a3,26:57.4,552,0 days 00:00:00.464399000,26:57.6,26:57.1,26:57.3,-15.602,6.185627907,27.56015348,455.4503953,37.7183559,0,9.446,Professional,Percussion
81,41,458.182,26:58.3,A1a3,26:57.8,552,0 days 00:00:00.441180000,26:58.0,26:57.6,26:57.8,-6.156,6.185627907,27.56015348,455.4503953,37.7183559,0,23.158,Professional,Percussion
82,42,445.583,26:58.7,A1a3,26:58.3,552,0 days 00:00:00.441179000,26:58.5,26:58.0,26:58.3,17.002,6.185627907,27.56015348,455.4503953,37.7183559,0,-12.598,Professional,Percussion
83,43,613.67,26:59.3,A1a3,26:58.7,552,0 days 00:00:00.441179000,26:58.9,26:58.5,26:58.7,4.404,6.185627907,27.56015348,455.4503953,37.7183559,0,,Professional,Percussion
84,1,1037.497,27:06.0,A1a4,27:04.9,552,0 days 00:00:00.348299000,27:05.1,27:04.8,,,13.22353571,20.53007349,1013.115518,20.35426458,2,,Professional,Percussion
85,2,1014.259,27:06.3,A1a4,27:05.3,552,0 days 00:00:00.325079000,27:05.4,27:05.1,,,13.22353571,20.53007349,1013.115518,20.35426458,2,,Professional,Percussion
86,3,1006.551,27:06.6,A1a4,27:05.6,552,0 days 00:00:00.325080000,27:05.8,27:05.4,27:05.6,13.492,13.22353571,20.53007349,1013.115518,20.35426458,2,25.547,Professional,Percussion
87,4,1041.296,27:07.0,A1a4,27:05.9,552,0 days 00:00:00.348299000,27:06.1,27:05.8,27:06.0,39.039,13.22353571,20.53007349,1013.115518,20.35426458,2,-23.238,Professional,Percussion
88,5,1004.84,27:07.3,A1a4,27:06.3,552,0 days 00:00:00.325079000,27:06.4,27:06.1,27:06.3,15.801,13.22353571,20.53007349,1013.115518,20.35426458,2,-7.708,Professional,Percussion
89,6,1018.973,27:07.6,A1a4,27:06.6,552,0 days 00:00:00.325080000,27:06.8,27:06.4,27:06.6,8.093,13.22353571,20.53007349,1013.115518,20.35426458,2,34.745,Professional,Percussion
90,7,1014.218,27:07.9,A1a4,27:06.9,552,0 days 00:00:00.348299000,27:07.1,27:06.8,27:07.0,42.838,13.22353571,20.53007349,1013.115518,20.35426458,2,-36.456,Professional,Percussion
91,8,989.42,27:08.3,A1a4,27:07.3,552,0 days 00:00:00.325079000,27:07.4,27:07.1,27:07.3,6.382,13.22353571,20.53007349,1013.115518,20.35426458,2,14.133,Professional,Percussion
92,9,1006.494,27:08.6,A1a4,27:07.6,552,0 days 00:00:00.348300000,27:07.8,27:07.4,27:07.6,20.515,13.22353571,20.53007349,1013.115518,20.35426458,2,-27.975,Professional,Percussion
93,10,993.748,27:08.9,A1a4,27:07.9,552,0 days 00:00:00.325079000,27:08.1,27:07.8,27:07.9,-7.46,13.22353571,20.53007349,1013.115518,20.35426458,2,-1.578,Professional,Percussion
94,11,1020.66,27:09.3,A1a4,27:08.3,552,0 days 00:00:00.325080000,27:08.4,27:08.1,27:08.3,-9.038,13.22353571,20.53007349,1013.115518,20.35426458,2,17.073,Professional,Percussion
95,12,1012.862,27:09.6,A1a4,27:08.6,552,0 days 00:00:00.348299000,27:08.8,27:08.4,27:08.6,8.035,13.22353571,20.53007349,1013.115518,20.35426458,2,-12.745,Professional,Percussion
96,13,1008.927,27:09.9,A1a4,27:08.9,552,0 days 00:00:00.325079000,27:09.1,27:08.8,27:08.9,-4.71,13.22353571,20.53007349,1013.115518,20.35426458,2,26.912,Professional,Percussion
97,14,1016.65,27:10.3,A1a4,27:09.3,552,0 days 00:00:00.325080000,27:09.4,27:09.1,27:09.3,22.202,13.22353571,20.53007349,1013.115518,20.35426458,2,-7.798,Professional,Percussion
98,15,1018.325,27:10.6,A1a4,27:09.6,552,0 days 00:00:00.348299000,27:09.8,27:09.4,27:09.6,14.404,13.22353571,20.53007349,1013.115518,20.35426458,2,-3.935,Professional,Percussion
99,16,1018.716,27:11.0,A1a4,27:09.9,552,0 days 00:00:00.325079000,27:10.1,27:09.8,27:09.9,10.469,13.22353571,20.53007349,1013.115518,20.35426458,2,7.723,Professional,Percussion
100,17,989.297,27:11.3,A1a4,27:10.3,552,0 days 00:00:00.325080000,27:10.4,27:10.1,27:10.3,18.192,13.22353571,20.53007349,1013.115518,20.35426458,2,1.675,Professional,Percussion
101,18,1017.869,27:11.6,A1a4,27:10.6,552,0 days 00:00:00.348299000,27:10.8,27:10.4,27:10.6,19.867,13.22353571,20.53007349,1013.115518,20.35426458,2,0.391,Professional,Percussion
102,19,1014.378,27:12.0,A1a4,27:10.9,552,0 days 00:00:00.325079000,27:11.1,27:10.8,27:11.0,20.258,13.22353571,20.53007349,1013.115518,20.35426458,2,-29.419,Professional,Percussion
103,20,1019.684,27:12.3,A1a4,27:11.3,552,0 days 00:00:00.325080000,27:11.4,27:11.1,27:11.3,-9.161,13.22353571,20.53007349,1013.115518,20.35426458,2,28.572,Professional,Percussion
104,21,1045.149,27:12.6,A1a4,27:11.6,552,0 days 00:00:00.348299000,27:11.8,27:11.4,27:11.6,19.411,13.22353571,20.53007349,1013.115518,20.35426458,2,-3.491,Professional,Percussion
105,22,987.823,27:12.9,A1a4,27:11.9,552,0 days 00:00:00.325079000,27:12.1,27:11.8,27:12.0,15.92,13.22353571,20.53007349,1013.115518,20.35426458,2,5.306,Professional,Percussion
